STRING_GENERIC_NEW_LINE				"\r\n"
STRING_WUMPUS_HUD_CAN_GO_LEFTSIDE_ROOM				"Gauche : "
STRING_WUMPUS_HUD_CAN_GO_RIGHTSIDE_ROOM				"Droite : "
STRING_WUMPUS_HUD_BATS_NEARBY						"*flap flap* (Il doit y avoir des chauves-souris pas loin)\r\n"
STRING_WUMPUS_HUD_PIT_NEARBY						"*whoosh* (Je sens un courant d'air provenant d'un gouffre)\r\n"
STRING_WUMPUS_HUD_WUMPUS_NEARBY						"*sniff* (Je peux sentir l'horrible Wumpus qui rôde tout près !)\r\n"
STRING_WUMPUS_HUD_PROMPT							"Que décidez-vous de faire ?\r\n\r\n"
STRING_WUMPUS_BATS_MOVED_PLAYER						"De gigantesques chauves-souris vous attrapent et vous déplacent\r\ndans une autre salle !\r\n"
STRING_WUMPUS_PLAYER_FALLEN_INTO_PIT				"*aaaaahhhhhhhhhh* Vous tombez dans un gouffre sans fond.\r\nVous avez l'éternité pour imaginer votre atterrissage...\r\n"
STRING_WUMPUS_EATS_PLAYER							"*ROOAARRR* *miam* *burp* Vous vous êtes jeté(e) dans la gueule du Wumpus,\r\nqui n'a fait qu'une bouchée de vous...\r\n"
STRING_WUMPUS_GAME_LOST								"\r\nVous êtes malencontreusement décédé(e). Appuyez sur une touche pour quitter.\r\n"
STRING_WUMPUS_PLAYER_HIT_WALL						"*bunk* Vous avez tiré dans un mur !\r\n"
STRING_WUMPUS_EATS_PLAYER_WITHOUT_AMMO				"*ROOAARRR* *miam* *borp* Le Wumpus s'est rendu compte que vous n'avez\r\nplus de flèches et vous a dévoré(e) !\r\n"
STRING_WUMPUS_EATS_FOUND_PLAYER						"*ROOAARRR* *miam* *berp* Le Wumpus vous a trouvé(e) et savouré(e) !\r\n"
STRING_WUMPUS_MOVE_WUMPUS_AFTER_SHOT				"Le Wumpus a entendu le tir et s'est déplacé...\r\n"
STRING_WUMPUS_PLAYER_KILLED_WUMPUS					"*twaaang* *ROOAAARRGGGHHH* Félicitations, vous avez tué le wumpus d'une flèche\r\nen plein coeur ! Vous voilà sauvé(e) !\r\nAppuyez sur une touche pour quitter.\r\n"
STRING_WUMPUS_ARROW_LOST							"*fffssss* La flèche que vous venez de tirer se perd dans l'obscurité\r\nd'une pièce vide...\r\n"
STRING_LOTO_TITLE									"+------+\r\n| Loto |\r\n+------+\r\n\r\nDevinez quels seront les 6 nombres compris entre 1 et 49 qui seront tirés\r\nau sort.\r\nAppuyez sur la touche Echap pour quitter.\r\n\r\nTapez les nombres que vous choisissez (entre 1 et 49) :\r\n"
STRING_LOTO_INSERT_NUMBER_1							"Nombre "
STRING_LOTO_INSERT_NUMBER_2							" : "
STRING_LOTO_NUMBER_NOT_IN_RANGE						"Erreur : ce nombre n'est pas compris entre 1 et 49.\r\n"
STRING_LOTO_NUMBER_ENTERED_YET						"Erreur : ce nombre a déjà été choisi.\r\n"
STRING_LOTO_SHOW_DRAWN_NUMBERS						"Résultats du tirage : "
STRING_LOTO_NUMBERS_FOUND_COUNT_1					"\r\nVous avez trouvé "
STRING_LOTO_NUMBERS_FOUND_COUNT_2					" nombre(s).\r\n\r\nAppuyez sur une touche pour quitter."
STRING_DEMO_FINDING_NUMBER_INSTRUCTIONS				"L'ordinateur doit trouver un nombre compris entre 1 et 50000 en 15 tentatives.\r\n\r\n"
STRING_DEMO_FINDING_NUMBER_SHOW_NUMBER_TO_FIND		"Nombre à trouver : "
STRING_DEMO_FINDING_NUMBER_TRY_NUMBER				"Nombre proposé : "
STRING_DEMO_FINDING_NUMBER_VICTORY					" => VICTOIRE !\r\n"
STRING_DEMO_FINDING_NUMBER_TOO_SMALL				" => trop petit !\r\n"
STRING_DEMO_FINDING_NUMBER_TOO_BIG					" => trop grand !\r\n"
STRING_DEMO_FINDING_NUMBER_LOSS						" => PERDU, toutes les tentatives ont échoué !\r\n"
